lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,120,200,60.3,177.69,11.560635805130005
0.1,120,210,71.2,187.89,12.323362112045288
0.1,120,220,78.7,248.44,13.30159592628479
0.1,120,230,82.3,276.95,14.394134998321533
0.1,120,240,69.7,262.86,15.406312942504883
0.1,120,250,84.3,225.15,16.332252979278564
0.1,120,260,87.3,244.68,17.338566780090332
0.1,120,270,108.6,285.51,18.546051740646362
0.1,120,280,78.9,358.65,19.863636016845703
0.1,120,290,89.3,374.31,21.322619915008545
0.1,120,300,119.8,380.7,22.83183789253235
0.1,120,310,132.9,388.91,24.36487889289856
0.1,120,320,91.7,410.51,25.909422874450684
0.1,120,330,82.8,384.53,27.332514762878418
0.1,120,340,119.7,446.49,29.055892944335938
0.1,120,350,102.8,425.46,30.70623803138733
0.1,120,360,126.9,424.12,32.347809076309204
0.1,120,370,117.4,416.06,33.94394493103027
0.1,120,380,173.0,414.12,35.6730740070343
0.1,120,390,120.7,417.92,37.30649185180664
0.1,120,400,147.5,429.03,39.016748905181885
0.1,120,410,141.6,445.16,40.799001932144165
0.1,120,420,146.2,430.86,42.52552390098572
0.1,120,430,146.4,427.32,44.22426080703735
0.1,120,440,123.0,430.58,45.87927198410034
0.1,120,450,129.0,426.17,47.5226047039032
0.1,120,460,150.4,438.76,49.24841094017029
0.1,120,470,112.1,458.61,51.00648784637451
0.1,120,480,159.3,474.37,52.90627193450928
0.1,120,490,150.0,488.2,54.810882806777954
0.1,130,10,18.7,9.35,0.07876729965209961
0.1,130,20,22.9,9.35,0.1584920883178711
0.1,130,30,28.9,9.35,0.24941110610961914
0.1,130,40,28.2,9.35,0.33972907066345215
0.1,130,50,23.2,15.17,0.4441859722137451
0.1,130,60,34.9,41.34,0.651940107345581
0.1,130,70,27.0,57.28,0.8976130485534668
0.1,130,80,26.3,69.12,1.1755468845367432
0.1,130,90,23.4,66.14,1.4506840705871582
0.1,130,100,23.5,54.48,1.6763789653778076
0.1,130,110,30.3,60.65,1.9426069259643555
0.1,130,120,25.0,63.89,2.205113172531128
0.1,130,130,31.9,63.66,2.4807560443878174
0.1,130,140,23.9,82.58,2.8063580989837646
0.1,130,150,31.5,88.5,3.163749933242798
0.1,130,160,43.4,83.67,3.523077964782715
0.1,130,170,31.6,89.14,3.877291202545166
0.1,130,180,40.3,96.74,4.272716045379639
0.1,130,190,23.0,111.53,4.722588062286377
0.1,130,200,48.6,115.24,5.2032470703125
0.1,130,210,61.3,120.65,5.731518983840942
0.1,130,220,40.0,118.56,6.197903871536255
0.1,130,230,65.8,127.6,6.756939172744751
0.1,130,240,58.0,130.51,7.295522212982178
0.1,130,250,55.8,134.15,7.84223484992981
0.1,130,260,55.3,153.73,8.465412855148315
0.1,130,270,59.4,171.08,9.157220840454102
0.1,130,280,72.9,168.07,9.858518123626709
0.1,130,290,86.3,187.93,10.663566827774048
0.1,130,300,83.9,193.34,11.454501867294312
0.1,130,310,58.4,204.12,12.25519609451294
0.1,130,320,88.8,215.2,13.134340286254883
0.1,130,330,65.0,221.31,13.980728149414062
0.1,130,340,91.6,213.86,14.899253129959106
0.1,130,350,61.6,225.09,15.786725997924805
0.1,130,360,71.7,251.2,16.75678014755249
0.1,130,370,99.6,252.06,17.772433042526245
0.1,130,380,121.4,258.34,18.875542163848877
0.1,130,390,93.1,264.55,19.963436126708984
0.1,130,400,121.6,255.7,21.11751103401184
0.1,130,410,106.8,271.11,22.2723331451416
0.1,130,420,111.5,284.75,23.51866602897644
0.1,130,430,147.3,289.54,24.809231996536255
0.1,130,440,163.3,290.88,26.098125219345093
0.1,130,450,138.3,293.86,27.353988885879517
0.1,130,460,118.7,287.32,28.58285903930664
0.1,130,470,119.2,298.62,29.82721209526062
0.1,130,480,139.8,305.66,31.101212978363037
0.1,130,490,150.0,298.73,32.4404091835022
0.1,130,500,160.6,307.66,33.85904002189636
0.1,140,10,23.3,9.33,0.08708715438842773
0.1,140,20,22.9,9.33,0.16616392135620117
0.1,140,30,23.5,9.33,0.2513148784637451
0.1,140,40,17.4,9.99,0.32309985160827637
0.1,140,50,20.0,9.96,0.39890098571777344
0.1,140,60,25.4,14.66,0.4997420310974121
0.1,140,70,23.9,19.79,0.6162729263305664
0.1,140,80,24.9,45.33,0.8214190006256104
0.1,140,90,20.1,43.88,1.0148921012878418
0.1,140,100,32.4,188.78,1.7086939811706543
0.1,140,110,31.0,458.45,3.2911500930786133
0.1,140,120,23.7,500.0,5.013734817504883
0.1,150,10,22.6,187.13,0.6630558967590332
0.1,150,20,27.3,177.2,1.326550006866455
0.1,150,30,22.4,500.0,3.0251410007476807
0.1,160,10,19.0,117.52,0.4352760314941406
0.1,160,20,29.5,108.79,0.9006729125976562
0.1,160,30,25.9,71.73,1.2151539325714111
0.1,160,40,33.5,117.84,1.7073168754577637
0.1,160,50,24.0,132.31,2.1956939697265625
0.1,160,60,26.9,136.0,2.6999359130859375
0.1,160,70,33.4,153.73,3.275351047515869
0.1,160,80,32.3,154.43,3.848731756210327
0.1,160,90,36.3,196.33,4.575549840927124
0.1,160,100,25.7,200.88,5.307630777359009
0.1,160,110,25.2,183.15,5.97132682800293
0.1,160,120,35.8,194.74,6.714683771133423
0.1,160,130,46.8,189.29,7.4548280239105225
0.1,160,140,33.1,150.38,8.032148838043213
0.1,160,150,39.8,166.38,8.675997972488403
0.1,160,160,45.9,153.13,9.289963960647583
0.1,160,170,54.0,166.9,9.958308696746826
0.1,160,180,20.8,187.32,10.659179925918579
0.1,160,190,36.2,194.74,11.39925503730774
